False_Positive_Rate,True_Positive_Rate,Threshold
0.0,0.0,inf
0.0,0.0019230769230769232,0.9596331
0.0,0.011538461538461539,0.94805264
0.0,0.015384615384615385,0.947754
0.0,0.04230769230769231,0.93854475
0.0,0.046153846153846156,0.9381667
0.0,0.05384615384615385,0.93581176
0.0,0.057692307692307696,0.9344254
0.0,0.16346153846153846,0.91263133
0.0,0.17115384615384616,0.91244465
0.0,0.18076923076923077,0.9112426
0.0,0.18461538461538463,0.9105459
0.0,0.21346153846153845,0.9033356
0.0,0.225,0.90177494
0.0,0.2326923076923077,0.90152866
0.0,0.26346153846153847,0.8982987
0.0,0.27115384615384613,0.89645386
0.0,0.28076923076923077,0.8956942
0.0,0.2846153846153846,0.89556855
0.0,0.31153846153846154,0.8925135
0.0,0.3211538461538462,0.8920799
0.0,0.32884615384615384,0.8894169
0.0,0.33653846153846156,0.88861346
0.0,0.39615384615384613,0.882474
0.0035714285714285713,0.39615384615384613,0.88226014
0.0035714285714285713,0.4,0.8817299
0.0035714285714285713,0.40384615384615385,0.8816598
0.0035714285714285713,0.4230769230769231,0.87820876
0.0035714285714285713,0.4269230769230769,0.8777324
0.0035714285714285713,0.43846153846153846,0.87635833
0.0035714285714285713,0.4442307692307692,0.8759013
0.0035714285714285713,0.45,0.8746355
0.007142857142857143,0.45,0.8743406
0.007142857142857143,0.4596153846153846,0.8716238
0.007142857142857143,0.47692307692307695,0.868052
0.007142857142857143,0.4807692307692308,0.8679825
0.007142857142857143,0.5192307692307693,0.8607958
0.007142857142857143,0.5269230769230769,0.86045176
0.007142857142857143,0.5423076923076923,0.8564409
0.007142857142857143,0.5480769230769231,0.8550716
0.007142857142857143,0.5653846153846154,0.85033077
0.007142857142857143,0.5692307692307692,0.8500963
0.007142857142857143,0.5884615384615385,0.84747195
0.007142857142857143,0.5923076923076923,0.8474305
0.007142857142857143,0.5942307692307692,0.84664255
0.010714285714285714,0.5942307692307692,0.84561163
0.010714285714285714,0.6076923076923076,0.84183633
0.010714285714285714,0.6115384615384616,0.8404722
0.010714285714285714,0.6269230769230769,0.8335618
0.010714285714285714,0.6365384615384615,0.83315635
0.010714285714285714,0.6442307692307693,0.8296192
0.014285714285714285,0.6442307692307693,0.8295176
0.014285714285714285,0.6615384615384615,0.82749003
0.014285714285714285,0.6653846153846154,0.82673514
0.014285714285714285,0.6807692307692308,0.81841475
0.017857142857142856,0.6807692307692308,0.8171744
0.017857142857142856,0.6865384615384615,0.8147042
0.017857142857142856,0.6903846153846154,0.81431
0.017857142857142856,0.7134615384615385,0.78721637
0.02142857142857143,0.7134615384615385,0.7862548
0.02142857142857143,0.7173076923076923,0.78418154
0.02142857142857143,0.725,0.78410876
0.02142857142857143,0.7269230769230769,0.78320575
0.025,0.7269230769230769,0.7815724
0.025,0.7365384615384616,0.7671123
0.02857142857142857,0.7365384615384616,0.76597023
0.02857142857142857,0.7423076923076923,0.75396687
0.02857142857142857,0.7461538461538462,0.7524231
0.02857142857142857,0.7557692307692307,0.73076856
0.02857142857142857,0.7596153846153846,0.72806454
0.03214285714285714,0.7596153846153846,0.7260468
