Recall,Precision,Threshold
1.0,0.65,0.0651453509926796
1.0,0.6516290726817042,0.07343089580535889
1.0,0.6524466750313677,0.07348626106977463
1.0,0.6532663316582915,0.07576608657836914
1.0,0.6540880503144654,0.0778621956706047
1.0,0.654911838790932,0.0782146081328392
1.0,0.6557377049180327,0.07873435318470001
1.0,0.6565656565656566,0.07879742980003357
1.0,0.6573957016434893,0.07997749000787735
1.0,0.6582278481012658,0.08055467158555984
1.0,0.6590621039290241,0.08086632937192917
0.9980769230769231,0.6586294416243654,0.08211315423250198
0.9980769230769231,0.6594663278271918,0.08373740315437317
0.9980769230769231,0.6611464968152866,0.08547313511371613
0.9980769230769231,0.6619897959183674,0.08595631271600723
0.9980769230769231,0.6628352490421456,0.08612233400344849
0.9980769230769231,0.6645326504481434,0.08621383458375931
0.9980769230769231,0.6653846153846154,0.08663303405046463
0.9980769230769231,0.6662387676508345,0.08674285560846329
0.9980769230769231,0.6670951156812339,0.09012997895479202
0.9980769230769231,0.667953667953668,0.09213515371084213
0.9980769230769231,0.6688144329896907,0.09346184879541397
0.9980769230769231,0.6696774193548387,0.09439697861671448
0.9980769230769231,0.6705426356589147,0.09448906034231186
0.9980769230769231,0.6714100905562742,0.09576301276683807
0.9980769230769231,0.6722797927461139,0.09617916494607925
0.9980769230769231,0.6731517509727627,0.09620337188243866
0.9980769230769231,0.674025974025974,0.0962805524468422
0.9980769230769231,0.6749024707412223,0.09648550301790237
0.9980769230769231,0.67578125,0.09679019451141357
0.9980769230769231,0.6766623207301173,0.0970233678817749
0.9980769230769231,0.6775456919060052,0.09762884676456451
0.9980769230769231,0.6784313725490196,0.09772013127803802
0.9961538461538462,0.6780104712041884,0.09786411374807358
0.9942307692307693,0.6775884665792923,0.09859628230333328
0.9942307692307693,0.678477690288714,0.09869343787431717
0.9942307692307693,0.6793692509855453,0.09917780011892319
0.9942307692307693,0.6802631578947368,0.10102219134569168
0.9923076923076923,0.6798418972332015,0.10107307136058807
0.9923076923076923,0.6807387862796834,0.10117419064044952
0.9923076923076923,0.6816380449141347,0.10185590386390686
0.9923076923076923,0.6825396825396826,0.10213255882263184
0.9923076923076923,0.6834437086092715,0.10251624137163162
0.9923076923076923,0.6843501326259946,0.10321596264839172
0.9923076923076923,0.6852589641434262,0.10377445071935654
0.9923076923076923,0.6861702127659575,0.10444041341543198
0.9923076923076923,0.6870838881491345,0.10445588082075119
0.9923076923076923,0.688,0.10468120127916336
0.9923076923076923,0.6889185580774366,0.10482289642095566
0.9923076923076923,0.6898395721925134,0.10586568713188171
0.9884615384615385,0.6890080428954424,0.10606593638658524
0.9884615384615385,0.6899328859060403,0.10779626667499542
0.9884615384615385,0.6908602150537635,0.10785643011331558
0.9884615384615385,0.6917900403768507,0.10805452615022659
0.9884615384615385,0.6936572199730094,0.10816305130720139
0.9884615384615385,0.7012278308321964,0.10857556760311127
0.9884615384615385,0.7021857923497268,0.10863182693719864
0.9884615384615385,0.7031463748290013,0.1094219982624054
0.9884615384615385,0.7041095890410959,0.11117201298475266
0.9884615384615385,0.7050754458161865,0.11124249547719955
0.9884615384615385,0.7060439560439561,0.11141516268253326
0.9884615384615385,0.7070151306740028,0.11159905046224594
0.9865384615384616,0.7066115702479339,0.11168356239795685
0.9865384615384616,0.7075862068965517,0.11179837584495544
0.9865384615384616,0.7085635359116023,0.11232753843069077
0.9865384615384616,0.7095435684647303,0.1123509630560875
0.9865384615384616,0.7105263157894737,0.11246150732040405
0.9865384615384616,0.7115117891816921,0.11275607347488403
0.9865384615384616,0.7125,0.11286504566669464
0.9846153846153847,0.7121001390820584,0.11311665177345276
0.9846153846153847,0.7140864714086471,0.11337798088788986
0.9846153846153847,0.7150837988826816,0.11416313052177429
0.9846153846153847,0.7160839160839161,0.11442054808139801
0.9826923076923076,0.7156862745098039,0.11449791491031647
0.9826923076923076,0.7166900420757363,0.11462249606847763
0.9826923076923076,0.7176966292134831,0.11499205976724625
0.9826923076923076,0.7187060478199718,0.11557050049304962
0.9826923076923076,0.719718309859155,0.11559406667947769
0.9826923076923076,0.7207334273624824,0.11568323522806168
0.9807692307692307,0.7203389830508474,0.11576653271913528
0.9807692307692307,0.7213578500707214,0.11591724306344986
0.9788461538461538,0.7209631728045326,0.11617157608270645
0.9788461538461538,0.7219858156028369,0.11807546019554138
0.9788461538461538,0.7230113636363636,0.11824482679367065
0.9788461538461538,0.7240398293029872,0.11845294386148453
0.9788461538461538,0.7250712250712251,0.11856257915496826
0.9769230769230769,0.724679029957204,0.11860329657793045
0.9769230769230769,0.7257142857142858,0.11866326630115509
0.9769230769230769,0.7267525035765379,0.11919404566287994
0.9769230769230769,0.7277936962750716,0.11931521445512772
0.9769230769230769,0.7288378766140603,0.11946843564510345
0.9769230769230769,0.7298850574712644,0.11958546936511993
0.9769230769230769,0.7309352517985611,0.1196824386715889
0.9769230769230769,0.7319884726224783,0.11980894207954407
0.9769230769230769,0.733044733044733,0.11982890218496323
0.9769230769230769,0.7341040462427746,0.11990884691476822
0.9769230769230769,0.7351664254703328,0.12031956762075424
0.9769230769230769,0.736231884057971,0.1205679252743721
0.975,0.7358490566037735,0.12255197018384933
0.975,0.7369186046511628,0.12278378754854202
0.9730769230769231,0.7365356622998545,0.12292003631591797
0.9730769230769231,0.7376093294460642,0.1232340931892395
0.9730769230769231,0.7386861313868613,0.123392254114151
0.9711538461538461,0.7383040935672515,0.12390457093715668
0.9711538461538461,0.739385065885798,0.12403972446918488
0.9692307692307692,0.7390029325513197,0.12424289435148239
0.9692307692307692,0.7400881057268722,0.12425514310598373
0.9692307692307692,0.7411764705882353,0.1244727224111557
0.9692307692307692,0.7422680412371134,0.12459004670381546
0.9692307692307692,0.7433628318584071,0.12484575808048248
0.9692307692307692,0.7444608567208272,0.1248825415968895
0.9692307692307692,0.7455621301775148,0.1248893216252327
0.9692307692307692,0.7466666666666667,0.12542308866977692
0.9692307692307692,0.7477744807121661,0.12605683505535126
0.9692307692307692,0.7488855869242199,0.12644939124584198
0.9692307692307692,0.75,0.12717102468013763
0.9692307692307692,0.7511177347242921,0.12749923765659332
0.9692307692307692,0.7522388059701492,0.1275760680437088
0.9692307692307692,0.7533632286995515,0.12776437401771545
0.9692307692307692,0.7544910179640718,0.12782022356987
0.9692307692307692,0.7556221889055472,0.12791746854782104
0.9692307692307692,0.7567567567567568,0.12857826054096222
0.9692307692307692,0.7578947368421053,0.1287154257297516
0.9673076923076923,0.7575301204819277,0.12983372807502747
0.9673076923076923,0.7586726998491704,0.13067626953125
