Recall,Precision,Threshold
1.0,0.20333333333333334,0.013118208386003971
1.0,0.2053872053872054,0.018064213916659355
1.0,0.20854700854700856,0.019596470519900322
1.0,0.2089041095890411,0.019936328753829002
1.0,0.20926243567753003,0.019999314099550247
1.0,0.20962199312714777,0.020988360047340393
1.0,0.2099827882960413,0.02158595621585846
1.0,0.21143847487001732,0.021619023755192757
1.0,0.21180555555555555,0.02474321611225605
1.0,0.21217391304347827,0.025518963113427162
0.9918032786885246,0.2111692844677138,0.02677351050078869
0.9918032786885246,0.21153846153846154,0.026966026052832603
0.9918032786885246,0.2119089316987741,0.027445346117019653
0.9918032786885246,0.21228070175438596,0.027584604918956757
0.9918032786885246,0.2126537785588752,0.028815049678087234
0.9918032786885246,0.2130281690140845,0.029628748074173927
0.9918032786885246,0.21340388007054673,0.02967376448214054
0.9918032786885246,0.2137809187279152,0.03170771524310112
0.9918032786885246,0.21415929203539824,0.032627832144498825
0.9918032786885246,0.21530249110320285,0.032761350274086
0.9918032786885246,0.21568627450980393,0.03335190936923027
0.9918032786885246,0.21645796064400716,0.03392159566283226
0.9918032786885246,0.21723518850987433,0.03491421043872833
0.9918032786885246,0.21762589928057555,0.0350518599152565
0.9836065573770492,0.2247191011235955,0.035876572132110596
0.9836065573770492,0.225140712945591,0.03837459534406662
0.9836065573770492,0.22556390977443608,0.038424503058195114
0.9836065573770492,0.22598870056497175,0.0407395139336586
0.9754098360655737,0.22452830188679246,0.0424141027033329
0.9754098360655737,0.22495274102079396,0.042707234621047974
0.9672131147540983,0.22348484848484848,0.042885348200798035
0.9672131147540983,0.24229979466119098,0.043238069862127304
0.9590163934426229,0.24074074074074073,0.043280333280563354
0.9590163934426229,0.24123711340206186,0.04343250393867493
0.9590163934426229,0.24173553719008264,0.04389787092804909
0.9590163934426229,0.2422360248447205,0.04467376694083214
0.9590163934426229,0.24324324324324326,0.04786650836467743
0.9508196721311475,0.24786324786324787,0.04834140092134476
0.9508196721311475,0.24839400428265523,0.048776254057884216
0.9508196721311475,0.25,0.049232155084609985
0.9508196721311475,0.2505399568034557,0.050262678414583206
0.9508196721311475,0.2510822510822511,0.050593119114637375
0.9426229508196722,0.24945770065075923,0.05069727450609207
0.9426229508196722,0.25,0.05101978778839111
0.9426229508196722,0.25054466230936817,0.05152389034628868
0.9426229508196722,0.25109170305676853,0.05161027982831001
0.9426229508196722,0.25219298245614036,0.0516398623585701
0.9426229508196722,0.25274725274725274,0.05179333686828613
0.9426229508196722,0.25669642857142855,0.05266159027814865
0.9426229508196722,0.2595936794582393,0.05279872193932533
0.9426229508196722,0.26018099547511314,0.05299031734466553
0.9426229508196722,0.26136363636363635,0.055068548768758774
0.9426229508196722,0.2619589977220957,0.05524508282542229
0.9426229508196722,0.26436781609195403,0.05534299090504646
0.9426229508196722,0.2662037037037037,0.056682199239730835
0.9426229508196722,0.2668213457076566,0.05668996274471283
0.9426229508196722,0.26744186046511625,0.05673973262310028
0.9426229508196722,0.2680652680652681,0.05694591626524925
0.9426229508196722,0.2699530516431925,0.058390550315380096
0.9344262295081968,0.2695035460992908,0.059325315058231354
0.9344262295081968,0.2857142857142857,0.06219787150621414
0.9262295081967213,0.28391959798994976,0.062243372201919556
0.9262295081967213,0.28463476070528965,0.06228920444846153
0.9262295081967213,0.28535353535353536,0.062306854873895645
0.9262295081967213,0.2868020304568528,0.06290306150913239
0.9262295081967213,0.288265306122449,0.0635657012462616
0.9262295081967213,0.28974358974358977,0.06395161896944046
0.9262295081967213,0.2927461139896373,0.06397750973701477
0.9262295081967213,0.2935064935064935,0.06416884064674377
0.9262295081967213,0.29658792650918636,0.06527319550514221
0.9262295081967213,0.29736842105263156,0.06802194565534592
0.9262295081967213,0.29815303430079154,0.06932084262371063
0.9262295081967213,0.30133333333333334,0.06983979791402817
0.9262295081967213,0.30213903743315507,0.07137107104063034
0.9262295081967213,0.30294906166219837,0.07140762358903885
