True_Label,Predicted_Probability
0,0.059325315
0,0.08827621
0,0.1036482
0,0.23542635
0,0.13127631
0,0.029673764
0,0.08996853
0,0.1119118
0,0.021585956
0,0.051639862
0,0.055245083
0,0.055245083
0,0.22862521
0,0.018064214
1,0.94558
0,0.04288535
0,0.35750967
0,0.04288535
0,0.06290306
0,0.059325315
0,0.12043485
0,0.04288535
0,0.04288535
0,0.86945057
0,0.03505186
0,0.106212385
0,0.12351391
0,0.10359698
0,0.09269095
0,0.06932084
0,0.059325315
0,0.04288535
0,0.082958736
0,0.20417471
0,0.05266159
0,0.051793337
0,0.04288535
0,0.32055515
0,0.04288535
0,0.04288535
0,0.18584837
0,0.05534299
0,0.5443424
0,0.61247087
0,0.056945916
0,0.059325315
0,0.03491421
0,0.05839055
0,0.30961874
0,0.08459079
0,0.08227761
0,0.23020081
0,0.12419105
0,0.04288535
0,0.02881505
0,0.055245083
0,0.12692802
0,0.03505186
0,0.03505186
0,0.04288535
0,0.06395162
0,0.04288535
0,0.065273196
0,0.04288535
0,0.23638533
0,0.04288535
0,0.16965404
0,0.06416884
0,0.031707715
0,0.04786651
0,0.1119118
0,0.120681
0,0.04288535
0,0.09269095
0,0.07310909
0,0.19722919
0,0.06932084
0,0.033921596
0,0.10439787
0,0.85622066
0,0.04288535
0,0.26253784
0,0.17464471
0,0.087275125
0,0.08227761
0,0.055245083
0,0.082958736
0,0.08827621
0,0.1555687
0,0.10869252
0,0.14272676
0,0.26619765
0,0.018064214
0,0.018064214
0,0.087275125
0,0.059325315
0,0.02098836
0,0.13127631
0,0.1555687
0,0.9189564
0,0.04288535
0,0.12419105
0,0.04288535
0,0.07564045
0,0.19786163
0,0.25205508
0,0.06395162
0,0.027584605
1,0.91656876
1,0.8633269
0,0.03505186
0,0.09269095
0,0.09269095
0,0.04288535
0,0.10869252
0,0.04288535
0,0.17704356
0,0.08227761
0,0.2388206
0,0.1823202
0,0.16552581
0,0.052990317
0,0.15881698
0,0.21288985
0,0.08827621
0,0.03335191
0,0.06416884
0,0.04288535
0,0.43572295
0,0.24862461
0,0.07678584
0,0.09091922
0,0.051793337
0,0.1119118
0,0.06416884
0,0.0768761
0,0.04786651
0,0.05266159
0,0.01959647
0,0.087275125
0,0.07678584
0,0.056689963
0,0.18967724
0,0.03505186
0,0.04288535
0,0.021619024
0,0.04786651
0,0.051793337
0,0.087275125
0,0.021585956
0,0.10812982
0,0.10174912
0,0.11910658
0,0.087275125
0,0.1823202
0,0.09932679
0,0.059325315
0,0.026966026
0,0.10869252
0,0.08982538
0,0.0698398
0,0.20607647
0,0.2648868
0,0.087275125
0,0.13127631
0,0.059325315
0,0.04288535
0,0.12530029
0,0.08192418
0,0.05506855
0,0.16871768
0,0.122905195
0,0.10812982
0,0.1307713
0,0.07894178
0,0.15655427
0,0.36537677
0,0.04288535
0,0.558234
0,0.1119118
0,0.11879809
0,0.06395162
0,0.24862461
0,0.08192418
0,0.03505186
0,0.087275125
0,0.14443131
0,0.03505186
0,0.08192418
0,0.059325315
0,0.05266159
0,0.1341444
0,0.051793337
0,0.04288535
0,0.18435988
0,0.11708505
0,0.07144518
0,0.23075615
0,0.22862521
0,0.08827621
0,0.1341444
0,0.112360545
0,0.112360545
0,0.17425798
0,0.048776254
0,0.112360545
0,0.112360545
0,0.048776254
0,0.09459904
0,0.09459904
0,0.032627832
0,0.108212076
0,0.032627832
0,0.09459904
0,0.09459904
0,0.09459904
0,0.032627832
1,0.8966558
1,0.8966558
1,0.8966558
1,0.14422393
1,0.8966558
1,0.8966558
1,0.9684475
1,0.8966558
0,0.42063004
1,0.9810735
1,0.9684475
0,0.42063004
1,0.8966558
1,0.042707235
1,0.8966558
0,0.12959886
0,0.03505186
1,0.9631019
0,0.21192919
0,0.03505186
1,0.9684475
0,0.018064214
1,0.9631019
0,0.013118208
0,0.1119118
1,0.8738783
0,0.035876572
0,0.059325315
1,0.9631019
0,0.12195061
0,0.12195061
0,0.21262774
0,0.018064214
0,0.1254054
0,0.21262774
1,0.9631019
0,0.044673767
0,0.044673767
0,0.04389787
0,0.024743216
0,0.049232155
1,0.9684475
1,0.9631019
0,0.087275125
0,0.21192919
0,0.21192919
0,0.21192919
0,0.09459904
0,0.21192919
0,0.21192919
0,0.21192919
0,0.21192919
0,0.14019413
0,0.21192919
0,0.21192919
0,0.03505186
0,0.03505186
0,0.051793337
0,0.062243372
0,0.03505186
0,0.15881698
0,0.07894178
0,0.11870812
0,0.04786651
0,0.059325315
1,0.8209036
0,0.15433879
0,0.094556674
0,0.23542635
0,0.09091922
0,0.07678584
0,0.013118208
0,0.09932679
0,0.07137107
0,0.013118208
0,0.1119118
1,0.9343402
0,0.059325315
0,0.06397751
0,0.07678584
0,0.2871979
0,0.059325315
0,0.04288535
0,0.062289204
0,0.07140762
0,0.059325315
0,0.04288535
0,0.06932084
0,0.16701952
0,0.04288535
0,0.059325315
0,0.07878339
0,0.04288535
0,0.059325315
0,0.06395162
0,0.05534299
0,0.0635657
0,0.15370642
0,0.16701952
0,0.08227761
0,0.16965404
0,0.16965404
0,0.08192418
0,0.04786651
0,0.0920761
0,0.1341444
0,0.013118208
0,0.08096277
0,0.042414103
0,0.1555687
0,0.04288535
0,0.03505186
1,0.95334107
0,0.10439787
0,0.04786651
0,0.059325315
0,0.12530029
0,0.05266159
0,0.3416701
0,0.07854506
0,0.13127631
0,0.2460918
0,0.09932679
0,0.11708505
0,0.10869252
0,0.08827621
0,0.04786651
0,0.1119118
0,0.03505186
0,0.059325315
0,0.059325315
0,0.04288535
0,0.04288535
0,0.08227761
0,0.059325315
0,0.12530029
0,0.03505186
0,0.062306855
0,0.059325315
0,0.15560217
0,0.1414573
0,0.059325315
0,0.10869252
0,0.04288535
0,0.106212385
0,0.029628748
0,0.06290306
0,0.04288535
1,0.8549213
0,0.11116397
0,0.0887063
0,0.043432504
1,0.8596684
1,0.9824315
0,0.04288535
0,0.12530029
0,0.25658488
0,0.056945916
0,0.37297988
0,0.059325315
0,0.25790188
0,0.087275125
0,0.14866814
0,0.033921596
0,0.1119118
0,0.03505186
1,0.19656818
0,0.1555687
0,0.059325315
0,0.027445346
0,0.12530029
0,0.07140762
0,0.07766787
0,0.04288535
0,0.03505186
0,0.051793337
0,0.9092114
0,0.04786651
0,0.14058061
0,0.11870812
0,0.052990317
0,0.04288535
0,0.14300236
1,0.9423141
1,0.879856
1,0.8441159
1,0.9050583
1,0.9378839
1,0.04323807
1,0.8650313
1,0.38645077
1,0.77409625
1,0.733917
1,0.86840415
1,0.8441159
1,0.7446597
1,0.9397951
1,0.9050583
1,0.105847515
1,0.89868796
1,0.9251684
1,0.92244786
1,0.9754239
1,0.935334
1,0.84975535
1,0.6534805
1,0.9192051
0,0.3119009
1,0.91344965
1,0.8777052
1,0.8247799
1,0.95516676
1,0.93445927
1,0.9228345
1,0.95516676
0,0.05534299
0,0.21751024
1,0.9172275
0,0.17272368
0,0.056945916
0,0.056739733
0,0.03505186
0,0.06416884
0,0.21751024
0,0.08375599
1,0.15996858
0,0.02677351
0,0.2428005
0,0.04288535
0,0.05152389
0,0.03335191
0,0.07297854
0,0.22260888
0,0.0483414
0,0.062306855
0,0.043280333
1,0.24705616
1,0.9582007
0,0.12921976
0,0.019999314
0,0.013118208
1,0.9582007
0,0.09547715
0,0.06932084
0,0.018064214
1,0.9225461
1,0.8818386
0,0.14138277
1,0.97020954
0,0.0566822
0,0.013118208
0,0.07297854
0,0.08637121
0,0.0635657
0,0.05161028
0,0.03276135
0,0.24855989
0,0.05266159
0,0.08845185
0,0.021585956
0,0.051019788
0,0.079481564
0,0.05161028
0,0.05839055
0,0.051793337
0,0.17771026
0,0.18629895
0,0.04786651
0,0.08827621
0,0.025518963
0,0.050697275
0,0.038374595
1,0.025518963
0,0.07297854
0,0.08914614
0,0.038424503
0,0.12769325
1,0.8627349
0,0.052798722
1,0.81475306
1,0.05839055
0,0.068021946
0,0.04288535
0,0.12419105
0,0.2428005
0,0.16671167
0,0.07575318
0,0.04786651
1,0.03505186
0,0.09652968
0,0.03505186
0,0.25949118
1,0.95516676
1,0.12922433
0,0.264492
0,0.12084629
1,0.9633461
0,0.16870224
0,0.03505186
0,0.04786651
1,0.05059312
0,0.17453541
0,0.03505186
0,0.7352499
1,0.04786651
1,0.99592006
0,0.12955298
1,0.4021154
1,0.07297854
0,0.11870812
0,0.07894178
0,0.09932679
0,0.087275125
0,0.04288535
1,0.040739514
0,0.021585956
0,0.088609114
0,0.018064214
0,0.018064214
0,0.059325315
0,0.04786651
0,0.2241769
0,0.088609114
1,0.94558
0,0.28143644
0,0.28143644
0,0.088609114
0,0.048776254
0,0.07297854
1,0.95334107
0,0.04288535
0,0.019936329
0,0.04288535
0,0.19724692
0,0.08227761
0,0.018064214
0,0.05026268
0,0.09068632
1,0.94558
0,0.107083455
0,0.106212385
1,0.74597526
0,0.10350309
1,0.84658974
0,0.14617127
0,0.087275125
0,0.084108375
0,0.14059314
1,0.91344965
1,0.99270004
1,0.93824893
0,0.106212385
1,0.6518115
1,0.9241942
1,0.98969066
1,0.7100853
1,0.97024095
1,0.8373503
1,0.87913334
1,0.91802526
1,0.5987032
1,0.9105544
1,0.8812207
1,0.96705186
1,0.8623901
1,0.06219787
1,0.9241942
1,0.94227546
0,0.08324235
1,0.9413773
1,0.9742089
1,0.9952058
1,0.90596616
1,0.78006977
1,0.95516676
1,0.97086
1,0.96223724
1,0.92916286
1,0.9112939
1,0.95516676
1,0.9949785
1,0.85644716
1,0.8756955
