True_Label,Predicted_Probability
0,0.045728434
0,0.03836273
0,0.045728434
0,0.03836273
0,0.08277665
0,0.03836273
0,0.03836273
0,0.045728434
0,0.03836273
0,0.045728434
0,0.045728434
0,0.03836273
0,0.045728434
0,0.03836273
0,0.9391403
0,0.045728434
0,0.03384692
0,0.03836273
0,0.103950895
0,0.03384692
0,0.103950895
0,0.103950895
0,0.03836273
0,0.0329549
0,0.3014283
1,0.7911199
1,0.7911199
1,0.7911199
1,0.7911199
1,0.6970792
0,0.16027841
0,0.0329549
0,0.16027841
0,0.16027841
0,0.0329549
0,0.16027841
0,0.16027841
0,0.16027841
0,0.16027841
0,0.16027841
0,0.08551303
0,0.16027841
0,0.045728434
0,0.11967357
0,0.045728434
0,0.087289356
0,0.11967357
0,0.16027841
0,0.051324736
0,0.03384692
0,0.087289356
0,0.03384692
0,0.087289356
0,0.03384692
0,0.045728434
0,0.11967357
0,0.03384692
0,0.087289356
0,0.8024632
0,0.03384692
0,0.03384692
0,0.087289356
0,0.11967357
0,0.045728434
0,0.045728434
0,0.03384692
0,0.03384692
0,0.031296887
0,0.083741084
0,0.03384692
0,0.03384692
0,0.118827224
0,0.16027841
0,0.16027841
0,0.050388988
0,0.057449408
0,0.050388988
0,0.16027841
0,0.16027841
0,0.16027841
0,0.04437114
0,0.055886913
0,0.055886913
0,0.055886913
0,0.08551303
0,0.055886913
0,0.055886913
0,0.0823582
0,0.055886913
0,0.062716715
1,0.9347258
0,0.0823582
0,0.062716715
0,0.055886913
0,0.081987865
0,0.055886913
0,0.038863365
0,0.02763321
0,0.0823582
0,0.12121484
0,0.039976373
0,0.0823582
0,0.20254628
0,0.0823582
0,0.040490374
0,0.10194543
1,0.97418356
0,0.030153556
0,0.040243603
0,0.0823582
0,0.07568946
0,0.07568946
0,0.021947045
0,0.2810366
0,0.057449408
0,0.021947045
0,0.0823582
0,0.2260703
0,0.1941556
0,0.16739225
0,0.101082705
0,0.03384692
0,0.0823582
0,0.0823582
0,0.05478006
0,0.12121484
0,0.12121484
0,0.12121484
1,0.9310876
0,0.12121484
0,0.12121484
0,0.12121484
0,0.12121484
0,0.025956815
0,0.12121484
0,0.12121484
0,0.036215328
0,0.03145569
0,0.059466068
0,0.08434003
0,0.08964169
0,0.07598274
0,0.22083597
0,0.046007223
0,0.05623256
0,0.056352876
0,0.069869645
0,0.0652717
0,0.031833474
0,0.104273126
0,0.11287743
0,0.040243603
0,0.021947045
0,0.056301866
