Recall,Precision,Threshold
1.0,0.19875,0.020097102969884872
1.0,0.19899874843554444,0.021294496953487396
0.9937106918238994,0.19799498746867167,0.021947044879198074
0.9937106918238994,0.20178799489144317,0.02222283184528351
0.9874213836477987,0.2012820512820513,0.023192504420876503
0.9874213836477987,0.20154043645699615,0.025316381826996803
0.9874213836477987,0.20179948586118251,0.025956815108656883
0.9874213836477987,0.20205920205920205,0.02632554993033409
0.9874213836477987,0.20231958762886598,0.026484983041882515
0.9874213836477987,0.2038961038961039,0.02665485069155693
0.9874213836477987,0.20416124837451236,0.02763321064412594
0.9874213836477987,0.21045576407506703,0.02781241200864315
0.9874213836477987,0.2110215053763441,0.028331205248832703
0.9811320754716981,0.21024258760107817,0.028881963342428207
0.9811320754716981,0.21052631578947367,0.029407924041152
0.9811320754716981,0.21109607577807848,0.030153555795550346
0.9811320754716981,0.21195652173913043,0.03129688650369644
0.9811320754716981,0.21224489795918366,0.031455688178539276
0.9811320754716981,0.2157676348547718,0.0318334735929966
0.9811320754716981,0.2175732217573222,0.03184955567121506
0.9811320754716981,0.21787709497206703,0.03264717757701874
0.9811320754716981,0.21818181818181817,0.032871343195438385
0.9811320754716981,0.2184873949579832,0.032954901456832886
0.9811320754716981,0.21940928270042195,0.03310772404074669
0.9811320754716981,0.22033898305084745,0.033306825906038284
0.9811320754716981,0.22065063649222066,0.03352154791355133
0.9811320754716981,0.22096317280453256,0.03384691849350929
0.9748427672955975,0.2239884393063584,0.03437372297048569
0.9748427672955975,0.2246376811594203,0.03448472544550896
0.9748427672955975,0.22496371552975328,0.035611193627119064
0.9748427672955975,0.2259475218658892,0.03603702783584595
0.9748427672955975,0.22627737226277372,0.03621532768011093
0.9748427672955975,0.2276064610866373,0.03627890348434448
0.9748427672955975,0.22794117647058823,0.036458369344472885
0.9748427672955975,0.23065476190476192,0.03738478571176529
0.9748427672955975,0.23099850968703428,0.037939269095659256
0.9748427672955975,0.23134328358208955,0.038107503205537796
0.9748427672955975,0.23168908819133036,0.03830580785870552
0.9748427672955975,0.23203592814371257,0.03836273029446602
0.9748427672955975,0.2359208523592085,0.038494907319545746
0.9748427672955975,0.23628048780487804,0.03859218209981918
0.9748427672955975,0.2366412213740458,0.038828711956739426
0.9748427672955975,0.23700305810397554,0.03886336460709572
0.9748427672955975,0.24180967238689546,0.03909112513065338
0.9748427672955975,0.2421875,0.039529528468847275
0.9748427672955975,0.24256651017214398,0.03976566344499588
0.9748427672955975,0.24294670846394983,0.03982139006257057
0.9748427672955975,0.24332810047095763,0.03997637331485748
0.9748427672955975,0.24681528662420382,0.04024360328912735
0.9748427672955975,0.25577557755775576,0.040490373969078064
0.9748427672955975,0.256198347107438,0.04050116613507271
0.9748427672955975,0.25662251655629137,0.040540292859077454
