False_Positive_Rate,True_Positive_Rate,Threshold
0.0,0.0,inf
0.0,0.012578616352201259,0.9869846
0.0,0.08176100628930817,0.9516422
0.0015600624024961,0.08176100628930817,0.9501812
0.0015600624024961,0.09433962264150944,0.9471464
0.0015600624024961,0.11949685534591195,0.94378275
0.0031201248049922,0.11949685534591195,0.9391403
0.0031201248049922,0.1320754716981132,0.9384386
0.0046801872074883,0.1320754716981132,0.9364505
0.0046801872074883,0.14465408805031446,0.93501586
0.0062402496099844,0.16981132075471697,0.9347258
0.0062402496099844,0.20754716981132076,0.9183774
0.0062402496099844,0.22641509433962265,0.91756815
0.0062402496099844,0.2389937106918239,0.91542494
0.0062402496099844,0.2893081761006289,0.8927589
0.0062402496099844,0.3710691823899371,0.8887785
0.0062402496099844,0.37735849056603776,0.8874381
0.0062402496099844,0.39622641509433965,0.8847554
0.0078003120124804995,0.4025157232704403,0.8836758
0.0078003120124804995,0.4088050314465409,0.8825099
0.0078003120124804995,0.4339622641509434,0.8822456
0.0078003120124804995,0.46540880503144655,0.8613496
0.0078003120124804995,0.4779874213836478,0.85546815
0.0093603744149766,0.48427672955974843,0.8531235
0.0109204368174727,0.48427672955974843,0.85106325
0.0109204368174727,0.49056603773584906,0.84926736
0.0124804992199688,0.49056603773584906,0.84707206
0.0124804992199688,0.5786163522012578,0.8116578
0.0124804992199688,0.5911949685534591,0.8024637
0.014040561622464899,0.5911949685534591,0.8024632
0.014040561622464899,0.6037735849056604,0.7914732
0.014040561622464899,0.6289308176100629,0.7911199
0.015600624024960999,0.6289308176100629,0.7911149
0.015600624024960999,0.6415094339622641,0.7905564
0.015600624024960999,0.6540880503144654,0.7875938
0.015600624024960999,0.6666666666666666,0.78518796
0.015600624024960999,0.6855345911949685,0.78077024
0.015600624024960999,0.6981132075471698,0.7797184
0.015600624024960999,0.7295597484276729,0.76675075
0.015600624024960999,0.7421383647798742,0.7578212
0.015600624024960999,0.7861635220125787,0.7124834
0.015600624024960999,0.8113207547169812,0.6970792
0.015600624024960999,0.8427672955974843,0.65251327
0.015600624024960999,0.8553459119496856,0.63958806
0.015600624024960999,0.8742138364779874,0.4985085
0.046801872074883,0.8742138364779874,0.4412793
0.054602184087363496,0.8742138364779874,0.3025603
