Hyperparameter,Importance
learning_rate,0.45245164717568903
max_depth,0.2870777575376319
gamma,0.11122827178965722
min_child_weight,0.06040625681967416
subsample,0.0544143703943456
colsample_bytree,0.03442169628300219
